ODYSSEY — BOOK XXIV full-book caption alignment
Duration: 1750.896s
Narration cues: 424
Source words: 5625
Directly matched source words: 5411 (96.2%)
Recognized words: 5671
Visual lead: 0.16s

Cue | Start | Anchor | Missing prefix | Caption
327 | 1330.680 | friends,           |              0 | "Friends — a monstrous work this man / has wrought against the Achaeans!
328 | 1334.720 | Some               |              0 | Some he led off in the ships — many men, and brave ones — / and he lost the hollow ships, and lost the people;
329 | 1341.120 | And                |              0 | and some he has killed on his return — / far the best of the Cephallenians.
330 | 1345.400 | Come               |              0 | Come then — before he can get away quickly to Pylos, / or to shining Elis, where the Epeians hold power —
331 | 1351.220 | let                |              0 | let us move! Or we hang our heads in shame forever after.
332 | 1355.320 | This               |              0 | This is a disgrace even for men unborn to hear of, / if we do not take vengeance on the murderers of our sons
333 | 1360.920 | and                |              0 | and our brothers. For me — / there would be no sweetness left
334 | 1364.360 | in                 |              0 | in living: I would rather die at / once and be among the perished.
335 | 1368.020 | move               |              0 | Move — before they get across the water and away from us!"
336 | 1371.420 | So                 |              0 | So he spoke, weeping; and pity / took hold of all the Achaeans.
337 | 1375.540 | but                |              0 | But now Medon came up to them, and the godlike singer,
338 | 1378.360 | out                |              0 | out of the halls of Odysseus, for sleep had let them go;
339 | 1381.920 | they               |              0 | they stood in the middle of them; / and amazement took every man.
340 | 1385.420 | And                |              0 | And Medon, whose mind knew wisdom, spoke among them:
341 | 1388.740 | hear               |              0 | "Hear me now, men of Ithaca. Not without the will of / the deathless gods did Odysseus devise these things.
342 | 1394.860 | I                  |              0 | I myself saw a deathless god, who stood close beside / Odysseus, and looked in all things like Mentor;
343 | 1401.680 | And                |              0 | and this deathless god now showed in front of Odysseus, / heartening him — and now he stormed the hall,
344 | 1409.140 | the                |              1 | stampeding the suitors; and they fell in heaps."
345 | 1412.600 | so                 |              0 | So he spoke; and the pale terror took hold of them all.
346 | 1416.720 | And                |              0 | And the old hero Halitherses spoke among them, / Mastor's son — for he alone saw before and behind:
347 | 1423.480 | With               |              0 | with good will toward them he spoke out and said:
348 | 1426.960 | hear               |              0 | "Hear me now, men of Ithaca, hear what I say.
349 | 1430.060 | By                 |              0 | By your own fault, friends, / these things have come to pass:
350 | 1433.520 | You                |              0 | you would not listen to me, / nor to Mentor, shepherd of the people,
351 | 1437.180 | and                |              0 | and make your sons leave off their reckless folly —
352 | 1440.600 | Your               |              0 | your sons who did a monstrous / work in their wicked blindness,
353 | 1443.740 | shearing           |              0 | shearing away the goods and dishonoring the wife
354 | 1446.120 | of                 |              0 | of a man of the first rank, / saying he would come home no more.
355 | 1450.020 | So                 |              0 | So now — let it rest here. Do as I say:
356 | 1453.020 | do                 |              0 | do not march. Some of us may draw / the evil down on his own head."
357 | 1457.220 | So                 |              0 | So he spoke; and more than half leapt up with a great / battle-shout — but the rest stayed there in a body:
358 | 1462.900 | For                |              0 | for the word did not please them / in their hearts; it was Eupeithes
359 | 1466.640 | they               |              0 | they followed; and they rushed at once for their weapons.
360 | 1470.160 | And                |              0 | And when they had cased their / flesh in the flashing bronze,
361 | 1473.180 | they               |              0 | they gathered in a body before the wide-spaced town; / and Eupeithes led them, in his folly:
362 | 1478.860 | He                 |              0 | he was sure he would avenge the / killing of his son — and he was never
363 | 1482.240 | to                 |              0 | to come back again: he was to meet his own fate there.
364 | 1485.700 | And                |              0 | And now Athena spoke to Zeus, the son of Cronos:
365 | 1489.220 | Father             |              0 | "Father of us all, son of Cronos, highest of the mighty,
366 | 1492.860 | answer             |              0 | answer me when I ask: what is your mind hiding now within?
367 | 1496.800 | Will               |              0 | Will you push on with evil war and the terrible / battle-din, or set the two sides now in friendship?"
368 | 1503.140 | Then               |              0 | Then Zeus who gathers the clouds answered her:
369 | 1505.940 | my                 |              0 | "My child, why do you ask me? Why question me on this?
370 | 1509.760 | Was                |              0 | Was it not you who framed this plan yourself — / that Odysseus should come home and pay those men in full?
371 | 1515.560 | Do                 |              0 | Do as you will. But I will tell you what is fitting.
372 | 1518.880 | Now                |              0 | Now that noble Odysseus has paid the suitors out, / let them cut faithful oaths — he to be king all his days —
373 | 1525.660 | and                |              0 | and let us, for our part, set a forgetting of the killing / of sons and of brothers. Let them love one another
374 | 1531.600 | as                 |              0 | as before; and let wealth and peace be there in plenty."
375 | 1535.580 | So                 |              0 | So speaking he stirred Athena — eager long before — / and down she went darting from the peaks of Olympus.
376 | 1542.460 | Now                |              0 | Now when they had put from them / the desire for honey-hearted food,
377 | 1546.040 | much               |              0 | much-enduring noble Odysseus began among them:
378 | 1549.020 | Someone            |              0 | "Someone go out and look — / in case they are close, and coming."
379 | 1553.320 | So                 |              0 | So he spoke; and a son of Dolius went out, as he ordered,
380 | 1557.220 | and                |              0 | and stood on the threshold, / and saw them — all of them — near,
381 | 1561.080 | and                |              0 | and quickly he spoke winged words to Odysseus:
382 | 1563.860 | Here               |              0 | "Here they are — close! Quick — to arms!"
383 | 1567.400 | Up                 |              0 | Up they sprang and got into their armor — / the four around Odysseus, and the six sons of Dolius;
384 | 1572.860 | and                |              0 | and with them Laertes and Dolius got / into armor too, gray though they were.
385 | 1578.040 | And                |              0 | And when they had cased their / flesh in the flashing bronze,
386 | 1581.700 | they               |              0 | they opened the doors and went out; and Odysseus led.
387 | 1585.000 | and                |              0 | And near them came the daughter of Zeus, / Athena, likened to Mentor in body and in voice;
388 | 1590.360 | and                |              0 | and much-enduring noble Odysseus / was glad at the sight of her,
389 | 1593.840 | and                |              0 | and quickly he spoke to Telemachus his dear son:
390 | 1596.980 | Telemachus.        |              0 | "Telemachus — now you will learn / it for yourself, standing where
391 | 1600.500 | men                |              0 | men fight it out, and the best are sorted from the rest:
392 | 1603.820 | shame              |              0 | shame nothing of your fathers' line. / In strength and manhood
393 | 1607.460 | we                 |              0 | we have excelled from of old across the whole earth."
394 | 1610.860 | Then               |              0 | Then clear-headed Telemachus answered him:
395 | 1613.400 | you                |              0 | "You will see me, if you care to look, / dear father, in this temper
396 | 1616.620 | shaming            |              0 | shaming nothing of your line — as you have said."
397 | 1620.060 | So                 |              0 | So he spoke; and Laertes exulted, and cried out:
398 | 1623.560 | what               |              0 | "What a day this is for me, dear gods! Great is my joy:
399 | 1627.440 | my                 |              0 | my son and my son's son are striving over excellence!"
400 | 1631.380 | and                |              0 | And gray-eyed Athena came and stood by him and said:
401 | 1634.120 | son                |              0 | "Son of Arceisius — far the dearest of all my companions —
402 | 1638.860 | pray               |              0 | pray to the gray-eyed girl, and to Zeus her father, / then swing the long-shadowed spear up, and let it fly."
403 | 1646.580 | So                 |              0 | So spoke Pallas Athena, / and breathed great strength into him;
404 | 1650.600 | and                |              0 | and he prayed then to the daughter of great Zeus, / and swung the long-shadowed spear up, and let it fly,
405 | 1657.060 | and                |              0 | and struck Eupeithes through the bronze-cheeked helmet:
406 | 1660.120 | the                |              0 | the helmet did not stop the spear; / the point drove through,
407 | 1663.820 | and                |              0 | and he fell with a crash, / and his armor clattered upon him.
408 | 1668.260 | Odysseus           |              1 | And Odysseus and his shining son fell on the front-fighters, / hacking with swords and double-pointed spears;
409 | 1674.540 | and                |              0 | and they would have destroyed them all, / cut them off from homecoming,
410 | 1678.280 | had                |              0 | had not Athena, daughter of Zeus who bears the aegis, / cried out with her voice, and checked the whole array:
411 | 1685.560 | hold               |              0 | "Hold back, men of Ithaca, from grinding war — / separate now, quickly, and without blood!"
412 | 1692.720 | So                 |              0 | So spoke Athena; and the pale terror seized them:
413 | 1696.260 | out                |              0 | out of their frightened hands the weapons flew, / and all fell on the ground at the goddess's cry,
414 | 1701.500 | and                |              0 | and they turned toward the city, aching to live.
415 | 1705.000 | and                |              0 | And terribly then cried out much-enduring noble Odysseus,
416 | 1707.980 | and                |              0 | and gathering himself he swooped like a high-flown eagle.
417 | 1711.860 | but                |              0 | But then the son of Cronos let fly his smoking bolt,
418 | 1715.300 | and                |              0 | and it fell in front of the gray-eyed one, / the great Father's daughter.
419 | 1719.480 | and                |              0 | And then gray-eyed Athena said to Odysseus:
420 | 1722.220 | Zeus               |              0 | "Zeus-born son of Laertes, Odysseus of the many / devices, hold! Stop the strife of leveling war —
421 | 1729.660 | for                |              0 | for fear the son of Cronos be angered / with you: Zeus of the wide voice."
422 | 1734.420 | so                 |              0 | So spoke Athena. He obeyed — and his heart was glad.
423 | 1738.540 | and                |              0 | And a sworn peace between the / two sides, for all days to come,
424 | 1742.540 | was                |              0 | was set by Pallas Athena, daughter of Zeus who bears / the aegis, likened to Mentor in body and in voice.
